1001;Adams;1988-05-01 00:00:00.000;1999-12-10 00:00:00.000
1004;Blake;1990-07-01 00:00:00.000;1999-10-15 00:00:00.000
1012;Clark;1979-09-15 00:00:00.000;1999-11-30 00:00:00.000
1023;Davis;1982-01-15 00:00:00.000;1999-11-30 00:00:00.000
1052;Evans;1985-11-01 00:00:00.000;1999-10-15 00:00:00.000
1101;Ali;1982-08-05 00:00:00.000;1999-09-21 00:00:00.000
1102;Able;1978-06-15 00:00:00.000;1999-07-31 00:00:00.000
1103;Allred;1969-05-02 00:00:00.000;1999-11-10 00:00:00.000
1104;Amenn;1959-11-16 00:00:00.000;1999-11-07 00:00:00.000
1105;Atman;1986-03-04 00:00:00.000;1999-10-27 00:00:00.000
1106;Black;1960-11-26 00:00:00.000;1999-08-26 00:00:00.000
1107;Blunder;1987-10-03 00:00:00.000;1999-11-14 00:00:00.000
1108;Blower;1971-09-08 00:00:00.000;1999-12-20 00:00:00.000
1109;Brewer;1988-01-17 00:00:00.000;1999-06-12 00:00:00.000
1110;Bellman;1990-08-11 00:00:00.000;1999-08-16 00:00:00.000
1111;Burns;1976-08-28 00:00:00.000;1999-11-09 00:00:00.000
1112;Bunt;1961-03-04 00:00:00.000;1999-10-03 00:00:00.000
1113;Britt;1974-10-24 00:00:00.000;1999-08-02 00:00:00.000
1114;Baser;1979-11-15 00:00:00.000;1999-10-15 00:00:00.000
1115;Bailer;1968-01-30 00:00:00.000;1999-07-29 00:00:00.000
1116;Bitter;1986-09-04 00:00:00.000;1999-11-21 00:00:00.000
1117;Benson;1978-10-08 00:00:00.000;1999-12-25 00:00:00.000
1118;Bear;1989-05-05 00:00:00.000;1999-07-18 00:00:00.000
1119;Baggett;1982-04-02 00:00:00.000;1999-12-23 00:00:00.000
1120;Bahm;1967-06-06 00:00:00.000;1999-09-21 00:00:00.000
1121;Bailey;1962-11-28 00:00:00.000;1999-12-27 00:00:00.000
1122;Bair;1981-08-18 00:00:00.000;1999-06-04 00:00:00.000
1123;Baird;1978-04-24 00:00:00.000;1999-06-22 00:00:00.000
1124;Baker;1962-10-19 00:00:00.000;1999-11-15 00:00:00.000
1125;Banks;1968-10-04 00:00:00.000;1999-06-10 00:00:00.000
1126;Barbee;1969-02-17 00:00:00.000;1999-08-20 00:00:00.000
1127;Bucky;1969-04-20 00:00:00.000;1999-12-17 00:00:00.000
1128;Baldwin;1991-08-09 00:00:00.000;1999-08-24 00:00:00.000
1129;Bates;1968-07-22 00:00:00.000;1999-07-04 00:00:00.000
1130;Bath;1964-10-05 00:00:00.000;1999-10-14 00:00:00.000
1131;Batts;1972-11-19 00:00:00.000;1999-08-26 00:00:00.000
1132;Bay;1982-10-30 00:00:00.000;1999-08-08 00:00:00.000
1133;Bayer;1980-03-20 00:00:00.000;1999-07-14 00:00:00.000
1134;Bays;1965-07-11 00:00:00.000;1999-10-01 00:00:00.000
1135;Beach;1962-01-24 00:00:00.000;1999-09-05 00:00:00.000
1136;Bell;1989-03-03 00:00:00.000;1999-07-25 00:00:00.000
1137;Belk;1985-03-18 00:00:00.000;1999-08-19 00:00:00.000
1138;Bender;1968-12-05 00:00:00.000;1999-12-11 00:00:00.000
1139;Bentley;1980-03-02 00:00:00.000;1999-10-10 00:00:00.000
1140;Bennett;1973-06-28 00:00:00.000;1999-06-21 00:00:00.000
1141;Belvin;1977-11-05 00:00:00.000;1999-10-24 00:00:00.000
1142;Bend;1989-06-07 00:00:00.000;1999-11-23 00:00:00.000
1143;Berger;1960-02-27 00:00:00.000;1999-09-23 00:00:00.000
1144;Bergin;1989-07-06 00:00:00.000;1999-08-30 00:00:00.000
1145;Berkey;1981-09-08 00:00:00.000;1999-09-14 00:00:00.000
1146;Berrow;1976-04-16 00:00:00.000;1999-09-06 00:00:00.000
1147;Best;1971-01-10 00:00:00.000;1999-08-25 00:00:00.000
1148;Berry;1968-04-10 00:00:00.000;1999-06-12 00:00:00.000
